"papp","at"
"921","2024-02-13 10:56:00+00"
"928.6923076923077","2024-02-13 10:57:00+00"
"919.3846153846154","2024-02-13 10:58:00+00"
"928","2024-02-13 11:03:00+00"
"927.0769230769231","2024-02-13 11:04:00+00"
"901.1538461538462","2024-02-13 11:05:00+00"
"891.5925925925926","2024-02-13 11:06:00+00"
"882.3461538461538","2024-02-13 11:07:00+00"
"922.3846153846154","2024-02-13 11:08:00+00"
"930.7307692307693","2024-02-13 11:09:00+00"
"936.7692307692307","2024-02-13 11:10:00+00"
"910.0769230769231","2024-02-13 11:11:00+00"
"915.7307692307693","2024-02-13 11:12:00+00"
"931.3846153846154","2024-02-13 11:13:00+00"
"936.6153846153846","2024-02-13 11:14:00+00"
"939.8846153846154","2024-02-13 11:15:00+00"
"925.5769230769231","2024-02-13 11:16:00+00"
"929.8076923076923","2024-02-13 11:17:00+00"
"923.2692307692307","2024-02-13 11:18:00+00"
"936.4615384615385","2024-02-13 11:19:00+00"
"936.0384615384615","2024-02-13 11:20:00+00"
"928.3076923076923","2024-02-13 11:21:00+00"
"916.4615384615385","2024-02-13 11:22:00+00"
"924.64","2024-02-13 11:23:00+00"
"931.4615384615385","2024-02-13 11:24:00+00"
"947.6923076923077","2024-02-13 11:25:00+00"
"959.1851851851852","2024-02-13 11:26:00+00"
"938.8461538461538","2024-02-13 11:27:00+00"
"918.7692307692307","2024-02-13 11:28:00+00"
"923.7692307692307","2024-02-13 11:29:00+00"
"936.5","2024-02-13 11:30:00+00"
"938.9230769230769","2024-02-13 11:31:00+00"
"944.7692307692307","2024-02-13 11:32:00+00"
"945.9615384615385","2024-02-13 11:33:00+00"
"942.1538461538462","2024-02-13 11:34:00+00"
"948.4615384615385","2024-02-13 11:35:00+00"
"939.7692307692307","2024-02-13 11:36:00+00"
"936.1153846153846","2024-02-13 11:37:00+00"
"941.7692307692307","2024-02-13 11:38:00+00"
"931.4230769230769","2024-02-13 11:39:00+00"
"936.5384615384615","2024-02-13 11:40:00+00"
"927.7692307692307","2024-02-13 11:41:00+00"
"932.5384615384615","2024-02-13 11:42:00+00"
"934.8461538461538","2024-02-13 11:43:00+00"
"935","2024-02-13 11:44:00+00"
"932.1153846153846","2024-02-13 11:45:00+00"
"934.8846153846154","2024-02-13 11:46:00+00"
"929.2307692307693","2024-02-13 11:47:00+00"
"907.8461538461538","2024-02-13 11:48:00+00"
"921.7692307692307","2024-02-13 11:49:00+00"
"917.4444444444445","2024-02-13 11:50:00+00"
"918.9230769230769","2024-02-13 11:51:00+00"
"903.0625","2024-02-13 11:52:00+00"
"914","2024-02-13 11:54:00+00"
"900.1538461538462","2024-02-13 11:55:00+00"
"912.8888888888889","2024-02-13 11:56:00+00"
"893.8076923076923","2024-02-13 11:57:00+00"
"871.8461538461538","2024-02-13 11:58:00+00"
"886.3846153846154","2024-02-13 11:59:00+00"
"870.6538461538462","2024-02-13 12:00:00+00"
"868.08","2024-02-13 12:01:00+00"
"856.9230769230769","2024-02-13 12:02:00+00"
"864.3076923076923","2024-02-13 12:03:00+00"
"863.1538461538462","2024-02-13 12:04:00+00"
"868.5384615384615","2024-02-13 12:05:00+00"
"844.9615384615385","2024-02-13 12:06:00+00"
"863.2307692307693","2024-02-13 12:07:00+00"
"876.5","2024-02-13 12:08:00+00"
"889.5","2024-02-13 12:09:00+00"
"890","2024-02-13 12:10:00+00"
"897.6923076923077","2024-02-13 12:11:00+00"
"919.2307692307693","2024-02-13 12:12:00+00"
"926.5384615384615","2024-02-13 12:13:00+00"
"923.3076923076923","2024-02-13 12:14:00+00"
"920.2307692307693","2024-02-13 12:15:00+00"
"904.2592592592592","2024-02-13 12:16:00+00"
"894.3461538461538","2024-02-13 12:17:00+00"
"907.4615384615385","2024-02-13 12:18:00+00"
"909.9230769230769","2024-02-13 12:19:00+00"
"931.1538461538462","2024-02-13 12:20:00+00"
"915.6538461538462","2024-02-13 12:21:00+00"
"909.2307692307693","2024-02-13 12:22:00+00"
"896.5","2024-02-13 12:23:00+00"
"884.4615384615385","2024-02-13 12:24:00+00"
"889.7692307692307","2024-02-13 12:25:00+00"
"901.5384615384615","2024-02-13 12:26:00+00"
"895.2692307692307","2024-02-13 12:27:00+00"
"908.44","2024-02-13 12:28:00+00"
"903.4615384615385","2024-02-13 12:29:00+00"
"899.3076923076923","2024-02-13 12:30:00+00"
"915.6666666666666","2024-02-13 12:31:00+00"
"906.4230769230769","2024-02-13 12:32:00+00"
"908.8846153846154","2024-02-13 12:33:00+00"
"899.3846153846154","2024-02-13 12:34:00+00"
"904.7692307692307","2024-02-13 12:35:00+00"
"952.1153846153846","2024-02-13 12:36:00+00"
"951.1153846153846","2024-02-13 12:37:00+00"
"920.2307692307693","2024-02-13 12:38:00+00"
"911.3076923076923","2024-02-13 12:39:00+00"
"908.2307692307693","2024-02-13 12:40:00+00"
"909.8461538461538","2024-02-13 12:41:00+00"
"918.3076923076923","2024-02-13 12:42:00+00"
"919","2024-02-13 12:43:00+00"
"940.1538461538462","2024-02-13 12:44:00+00"
"922.5384615384615","2024-02-13 12:45:00+00"
"913.3076923076923","2024-02-13 12:46:00+00"
"919.7307692307693","2024-02-13 12:47:00+00"
"893.0769230769231","2024-02-13 12:48:00+00"
"923.7307692307693","2024-02-13 12:49:00+00"
"912.52","2024-02-13 12:50:00+00"
"917.5384615384615","2024-02-13 12:51:00+00"
"920.7777777777778","2024-02-13 12:52:00+00"
"907.5384615384615","2024-02-13 12:53:00+00"
"907","2024-02-13 12:54:00+00"
"910.8461538461538","2024-02-13 12:55:00+00"
"918.6923076923077","2024-02-13 12:56:00+00"
"927.6538461538462","2024-02-13 12:57:00+00"
"923.1923076923077","2024-02-13 12:58:00+00"
"944.1538461538462","2024-02-13 12:59:00+00"
"943.0769230769231","2024-02-13 13:00:00+00"
"933.3846153846154","2024-02-13 13:01:00+00"
"933.9615384615385","2024-02-13 13:02:00+00"
"915.7307692307693","2024-02-13 13:03:00+00"
"921.7307692307693","2024-02-13 13:04:00+00"
"915.2692307692307","2024-02-13 13:05:00+00"
"911.1538461538462","2024-02-13 13:06:00+00"
"907.16","2024-02-13 13:07:00+00"
"898.6923076923077","2024-02-13 13:08:00+00"
"898","2024-02-13 13:09:00+00"
"900.7692307692307","2024-02-13 13:10:00+00"
"911.5769230769231","2024-02-13 13:11:00+00"
"917.5384615384615","2024-02-13 13:12:00+00"
"916.0769230769231","2024-02-13 13:13:00+00"
"921.5384615384615","2024-02-13 13:14:00+00"
"924.7692307692307","2024-02-13 13:15:00+00"
"912.9629629629629","2024-02-13 13:16:00+00"
"912.9615384615385","2024-02-13 13:17:00+00"
"900.5","2024-02-13 13:18:00+00"
"912.5","2024-02-13 13:19:00+00"
"911.0769230769231","2024-02-13 13:20:00+00"
"922.5384615384615","2024-02-13 13:21:00+00"
"908.5769230769231","2024-02-13 13:22:00+00"
"905.1153846153846","2024-02-13 13:23:00+00"
"917.9230769230769","2024-02-13 13:24:00+00"
"920.8461538461538","2024-02-13 13:25:00+00"
"927.7307692307693","2024-02-13 13:26:00+00"
"905.8846153846154","2024-02-13 13:27:00+00"
"895.3846153846154","2024-02-13 13:28:00+00"
"895.9615384615385","2024-02-13 13:29:00+00"
"893.1153846153846","2024-02-13 13:30:00+00"
"898.7692307692307","2024-02-13 13:31:00+00"
"895.1538461538462","2024-02-13 13:32:00+00"
"890.1923076923077","2024-02-13 13:33:00+00"
"875.5769230769231","2024-02-13 13:34:00+00"
"862.5","2024-02-13 13:35:00+00"
"877.3846153846154","2024-02-13 13:36:00+00"
"880.8846153846154","2024-02-13 13:37:00+00"
"885.8076923076923","2024-02-13 13:38:00+00"
"897.0769230769231","2024-02-13 13:39:00+00"
"889.6923076923077","2024-02-13 13:40:00+00"
"881.6153846153846","2024-02-13 13:41:00+00"
"882.8461538461538","2024-02-13 13:42:00+00"
"868.2307692307693","2024-02-13 13:43:00+00"
"893.7692307692307","2024-02-13 13:44:00+00"
"894.1481481481482","2024-02-13 13:45:00+00"
"897.84","2024-02-13 13:46:00+00"
"890.6153846153846","2024-02-13 13:47:00+00"
"878.9230769230769","2024-02-13 13:48:00+00"
"894.6153846153846","2024-02-13 13:49:00+00"
"886.7692307692307","2024-02-13 13:50:00+00"
"900.7692307692307","2024-02-13 13:51:00+00"
"895.5384615384615","2024-02-13 13:52:00+00"
"874.6923076923077","2024-02-13 13:53:00+00"
"862.4230769230769","2024-02-13 13:54:00+00"
"868.7307692307693","2024-02-13 13:55:00+00"
"858.4230769230769","2024-02-13 13:56:00+00"
